Date,Open,Close,Change,Zhangdiefu,Low,High,Succeed,Succeed Price
2018-11-28,2575.45,2601.74,27.06,1.05%,2561.56,2601.96,145963472,11957849.00
2018-11-27,2585.83,2574.68,-1.13,-0.04%,2566.17,2592.54,123658432,10222656.00
2018-11-26,2580.84,2575.81,-3.67,-0.14%,2568.04,2595.00,134314544,10815809.00
2018-11-23,2640.67,2579.48,-65.95,-2.49%,2577.35,2642.04,191474544,14997565.00
2018-11-22,2655.90,2645.43,-6.07,-0.23%,2634.48,2658.00,149309056,12557017.00
2018-11-21,2619.82,2651.51,5.65,0.21%,2617.78,2653.80,182596448,14937578.00
2018-11-20,2684.29,2645.85,-57.66,-2.13%,2643.36,2690.83,215891312,18087042.00
2018-11-19,2681.90,2703.51,24.40,0.91%,2674.18,2703.51,231662816,19656272.00
2018-11-16,2669.78,2679.11,10.94,0.41%,2657.03,2695.57,242198848,20498360.00
2018-11-15,2632.14,2668.17,35.93,1.36%,2631.89,2668.17,207848720,17188250.00
2018-11-14,2648.31,2632.24,-22.64,-0.85%,2627.96,2658.31,238449360,17697044.00
2018-11-13,2600.50,2654.88,24.36,0.93%,2597.35,2666.49,249282432,18960724.00
2018-11-12,2593.20,2630.52,31.65,1.22%,2590.21,2631.17,175031312,14235143.00
2018-11-09,2621.24,2598.87,-36.76,-1.39%,2598.16,2621.24,152446304,12126049.00
2018-11-08,2660.09,2635.63,-5.71,-0.22%,2632.30,2662.37,159635488,12866882.00
2018-11-07,2659.84,2641.34,-18.01,-0.68%,2639.25,2675.68,173201984,14726182.00
2018-11-06,2660.72,2659.36,-6.07,-0.23%,2635.32,2660.86,163669488,13880094.00
2018-11-05,2665.43,2665.43,-11.05,-0.41%,2639.27,2673.19,193760096,16858892.00
2018-11-02,2649.25,2676.48,70.24,2.70%,2628.87,2676.48,225026928,20786156.00
2018-11-01,2617.03,2606.24,3.45,0.13%,2603.65,2636.80,200903920,18025380.00
2018-10-31,2573.01,2602.78,34.74,1.35%,2567.03,2612.92,180550352,15489473.00
2018-10-30,2538.57,2568.05,25.94,1.02%,2521.78,2586.92,166682304,15238593.00
2018-10-29,2593.59,2542.10,-56.74,-2.18%,2529.19,2595.54,134241920,12250004.00
2018-10-26,2610.90,2598.85,-4.95,-0.19%,2580.85,2626.12,158936112,13341549.00
2018-10-25,2540.93,2603.80,0.50,0.02%,2531.53,2606.10,162032976,13763019.00
2018-10-24,2579.97,2603.30,8.47,0.33%,2577.77,2640.40,160060400,14208216.00
2018-10-23,2652.65,2594.83,-60.05,-2.26%,2583.26,2659.81,178343552,16691941.00
2018-10-22,2565.64,2654.88,104.41,4.09%,2565.64,2675.41,211888448,19730980.00
2018-10-19,2460.08,2550.47,64.05,2.58%,2449.20,2553.39,147323552,13009592.00
2018-10-18,2544.91,2486.42,-75.20,-2.94%,2485.62,2544.91,125428512,10657676.00
2018-10-17,2574.31,2561.61,15.28,0.60%,2517.57,2582.55,129954000,11738835.00
2018-10-16,2567.76,2546.33,-21.77,-0.85%,2536.44,2597.72,119419144,10679225.00
2018-10-15,2605.91,2568.10,-38.81,-1.49%,2564.74,2611.97,118576200,10521474.00
2018-10-12,2574.04,2606.91,23.46,0.91%,2536.67,2615.92,170081632,14280321.00
2018-10-11,2643.07,2583.46,-142.38,-5.22%,2560.32,2661.29,197150704,17005776.00
2018-10-10,2723.72,2725.84,4.82,0.18%,2703.06,2743.55,113485728,11131245.00
2018-10-09,2713.73,2721.01,4.50,0.17%,2711.20,2734.31,116771904,11029246.00
2018-10-08,2768.21,2716.51,-104.84,-3.72%,2710.18,2771.94,149501392,14153155.00
2018-09-28,2794.26,2821.35,29.58,1.06%,2791.84,2821.76,134290448,12536999.00
2018-09-27,2805.79,2791.77,-15.04,-0.54%,2786.32,2810.51,123997696,12344771.00
2018-09-26,2785.32,2806.81,25.67,0.92%,2783.34,2827.34,139567712,14505878.00
2018-09-25,2775.07,2781.14,-16.35,-0.58%,2771.16,2790.03,111983176,10852805.00
2018-09-21,2733.87,2797.48,68.24,2.50%,2722.03,2797.49,158016640,14897635.00
2018-09-20,2732.17,2729.24,-1.61,-0.06%,2724.08,2743.96,111387464,10487587.00
2018-09-19,2694.80,2730.85,30.90,1.14%,2690.99,2746.08,141550320,14010701.00
2018-09-18,2644.30,2699.95,48.16,1.82%,2644.30,2700.19,115767992,11303189.00
2018-09-17,2671.29,2651.79,-29.85,-1.11%,2647.92,2671.29,88238888,8696260.00
2018-09-14,2688.78,2681.64,-4.94,-0.18%,2675.29,2694.92,100005008,10499236.00
2018-09-13,2679.21,2686.58,30.47,1.15%,2653.19,2689.06,107335016,11246414.00
2018-09-12,2659.74,2656.11,-8.69,-0.33%,2647.17,2672.07,90026760,9344821.00
2018-09-11,2668.49,2664.80,-4.68,-0.18%,2652.70,2680.57,99865952,9688458.00
2018-09-10,2698.01,2669.48,-32.82,-1.21%,2667.32,2703.43,103559168,10286072.00
2018-09-07,2696.68,2702.30,10.71,0.40%,2683.72,2728.55,107523296,11384007.00
2018-09-06,2697.58,2691.59,-12.74,-0.47%,2683.74,2719.41,99017832,10626608.00
2018-09-05,2741.38,2704.34,-46.24,-1.68%,2704.34,2745.47,105002272,10726945.00
2018-09-04,2720.65,2750.58,29.85,1.10%,2712.38,2756.61,109010312,11370888.00
2018-09-03,2716.40,2720.73,-4.52,-0.17%,2692.36,2722.85,102213008,10481769.00
2018-08-31,2730.11,2725.25,-12.49,-0.46%,2710.54,2744.63,109758744,11481335.00
2018-08-30,2769.33,2737.74,-31.56,-1.14%,2736.35,2780.53,106060944,10640040.00
2018-08-29,2774.86,2769.29,-8.69,-0.31%,2762.35,2778.54,100156928,10122066.00
2018-08-28,2782.29,2777.98,-2.92,-0.10%,2769.40,2791.39,118749368,12511858.00
2018-08-27,2736.32,2780.90,51.47,1.89%,2736.32,2780.90,132762584,14142969.00
2018-08-24,2717.08,2729.43,4.81,0.18%,2705.32,2748.82,100516272,10266580.00
